Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Notes,Brand,Best_For,Image_Url,Deal_Stat,Deal_Link,Budget,Final_Budget,Rate_From_10,Type
"EGP18,799.00",HP 15s-eq1002ne,"AMD Ryzen™ 3 3250U Processor 2.6GHz Base Frequency ( 2 cores, 4 threads, Up to 3.5GHz, 4MB cache)",AMD Radeon Integrated Graphics,4 GB,Unspecified,256 GB PCIe® NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal,","Student,https://2b.com.eg/en/hp-15s-eq1002ne-amd-ryzen-3-3250u-dual-4-gb-256-gb-ssd-amd-radeon-integrated-graphics-15-6-hd-win11-natural-silver.html,In stock Only 1 left",HP,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh389-22.jpg,In stock Only 1 left,https://2b.com.eg/en/hp-15s-eq1002ne-amd-ryzen-3-3250u-dual-4-gb-256-gb-ssd-amd-radeon-integrated-graphics-15-6-hd-win11-natural-silver.html,Low,"EGP18,799.00 'Low'",-,Deal
"EGP23,999.00",Lenovo IdeaPad Slim 3 15AMN8,"AMD Ryzen™ 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3)",AMD Radeon™ Graphics,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)","Student,https://2b.com.eg/en/lenovo-ideapad-slim-3-15amn8-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html,In stock",Lenovo,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl379.png,In stock,https://2b.com.eg/en/lenovo-ideapad-slim-3-15amn8-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html,Low,"EGP23,999.00 'Low'",-,Deal
"EGP19,499.00",Vostro 3510,"Intel® Core™ i3-1115G4 (6 MB Cache, 2 Core, 4 Threads, 3.00 GHz to 4.10 GHz)",Intel UHD Graphics,4 GB,Unspecified,"M.2 2230, 256 GB","15.6""HD 1366 x 768","Student,https://2b.com.eg/en/dell-vostro-3510-intelr-coretm-i3-1115g4-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-black.html,In stock",Dell,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd109-4.jpg,In stock,https://2b.com.eg/en/dell-vostro-3510-intelr-coretm-i3-1115g4-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-black.html,Low,"EGP19,499.00 'Low'",-,Deal
"EGP18,999.00",HP 15s-eq1001ne,"AMD Ryzen™ 3 3250U Processor 2.6GHz Base Frequency ( 2 cores, 4 threads, Up to 3.5GHz, 4MB cache)",AMD Radeon Integrated Graphics,4 GB,Unspecified,256 GB PCIe® NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal,HD (1920 x 1080), micro-edge","Student,https://2b.com.eg/en/hp-15s-eq1001ne-amd-ryzen-3-3250u-dual-4-gb-256-gb-ssd-amd-radeon-integrated-graphics-15-6-hd-win11-black.html,In stock Only 1 left",HP,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh399-1-2b-1.jpg,In stock Only 1 left,https://2b.com.eg/en/hp-15s-eq1001ne-amd-ryzen-3-3250u-dual-4-gb-256-gb-ssd-amd-radeon-integrated-graphics-15-6-hd-win11-black.html,Low,"EGP18,999.00 'Low'",-,Deal
"EGP17,199.00",Lenovo IdeaPad 1 15IAU7,"Intel® Core™ i3-1215U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB",Intel UHD Graphics,4 GB,Unspecified,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" HD (1366x768)","Student,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intel-uhd-graphics-15-6-hd-win11-cloud-grey.html,In stock",Lenovo,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl417-zl417-zl417.png,In stock,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intel-uhd-graphics-15-6-hd-win11-cloud-grey.html,Low,"EGP17,199.00 'Low'",-,Deal
"EGP18,499.00",huawei matebook d14 laptop intelr coretm i3 1115g4 8gb 256gb ssd intelr uhd graphics 14 inch win11 mystic silver,"11th Generation Intel® Core™ i3-1115G4 Processor 6M Cache, up to 4.10 GHz",Intel UHD Graphics,8 GB,Unspecified,256GB NVMe PCle SSD,-,"Student,https://2b.com.eg/en/huawei-matebook-d14-laptop-intelr-coretm-i3-1115g4-8gb-256gb-ssd-intelr-uhd-graphics-14-inch-win11-mystic-silver.html,In stock",Huawei,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm035-1.png,In stock,https://2b.com.eg/en/huawei-matebook-d14-laptop-intelr-coretm-i3-1115g4-8gb-256gb-ssd-intelr-uhd-graphics-14-inch-win11-mystic-silver.html,Low,"EGP18,499.00 'Low'",-,Deal
"EGP17,999.00",Lenovo Ideapad 1 15IAU7,"Intel® Core™ i3-1215U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB",Intel® UHD Integrated Graphics,8 GB,Unspecified,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" HD (1366x768)","Student,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-win11-abyss-blue.html,In stock",Lenovo,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl434-1.png,In stock,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-win11-abyss-blue.html,Low,"EGP17,999.00 'Low'",-,Deal
"EGP17,499.00",14-em0004ne,"AMD Ryzen™ 3 7320U (up to 4.1 GHz max boost clock, 4 MB L3 cache, 4 cores, 8 threads)",AMD Radeon™ Integrated Graphics,4 GB,Unspecified,256 GB SSD,"14"" HD","Student,https://2b.com.eg/en/hp-14-em0004ne-laptop-amd-ryzentm-r3-7320u-4gb-256gb-ssd-amd-radeontm-integrated-graphics-14-hd-win11-natural-silver.html,In stock",HP,Student,https://smhttp-ssl-73217.nexcesscdn.net/pub/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zhzhzh_1.png,In stock,https://2b.com.eg/en/hp-14-em0004ne-laptop-amd-ryzentm-r3-7320u-4gb-256gb-ssd-amd-radeontm-integrated-graphics-14-hd-win11-natural-silver.html,Low,"EGP17,499.00 'Low'",-,Deal
