360X,Student,Gaming,Professional
,,https://2b.com.eg/en/msi-titan-18hx-a14vi-laptop-intelr-coretm-i9-14900hx-64gb-2tb-ssd-nvidiar-geforce-rtxtm-4090-16gb-18-uhd-win11-core-black.html,https://2b.com.eg/en/dell-vostro-3520-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html
,,https://2b.com.eg/en/msi-vector-17-hx-a14vhg-laptop-intelr-coretm-i9-14900hx-32gb-1tb-ssd-nvidiar-geforce-rtxtm-4080-12gb-17-qhd-win11-cosmos-gray.html,https://2b.com.eg/en/huawei-matebook-d15-laptop-intelr-coretm-i3-1115g4-8gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-mystic-silver.html
,,https://2b.com.eg/en/msi-cyborg-15-ai-a1vf-laptop-intelr-coretm-ultra-7-155h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-win11-translucent-black.html,https://2b.com.eg/en/hp-pavalion-15-eh3000ne-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-15-6-fhd-win11-natural-silver.html
,,https://2b.com.eg/en/msi-cyborg-15-a13vf-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-15-6-fhd-translucent-black.html,https://2b.com.eg/en/hp-pavalion-15-eh3001ne-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-15-6-fhd-win11-blue.html
,,https://2b.com.eg/en/hp-victus-15-fb1013dx-laptop-amd-ryzentm-5-7535hs-8gb-512gb-ssd-nvidiar-geforcer-rtx-2050-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/hp-spectre14-ef2008ne-intelr-evo-coretm-i7-1355u-intelr-iris-xe-graphics-16gb-1tb-ssd-13-5-3k-oled-uwva-win11-nocturne-blue.html
,,https://2b.com.eg/en/lenovo-legion-5-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-wqxga-win11-luna-grey.html,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6-fhd-win11-cloud-grey.html
,,https://2b.com.eg/en/lenovo-loq-15irh8-laptop-intelr-coretm-i5-12450h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-storm-grey.html,https://2b.com.eg/en/asus-zenbook-14-oled-up3404va-oled005w-laptop-intelr-coretmi5-1340p-8gb-512gb-ssd-intelr-iris-xe-graphics-14-oled-win11-ponder-blue.html
,,https://2b.com.eg/en/lenovo-ideapad-gaming-3-amd-ryzentm-5-5500h-8gb-512gb-ssd-nvidia-geforce-rtx-2050-4gb-15-6-fhd-shadow-black.html,https://2b.com.eg/en/dell-vostro-3520-intelr-coretm-i7-1255u-8gb-512-ssd-nvidiar-geforce-mx550-2gb-15-6-fhd-black.html
,,https://2b.com.eg/en/asus-rog-strix-g15-g513rc-hn088w-amd-ryzentm-r7-6800h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-4gb-15-6-fhd-win11-eclipse-gray.html,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-win11-abyss-blue.html
,,https://2b.com.eg/en/asus-tuf-gaming-f15-fx506hf-hn001w-intelr-coretmi5-11400h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-2050-4gb-15-6-fhd-win11-graphite-black.html,https://2b.com.eg/en/asus-vivobook-go-15-e1504fa-nj005w-laptop-amd-ryzentm-r5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-cool-silver.html
,,https://2b.com.eg/en/dell-gaming-5530-g15-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-15-6-fhd-win-10-dark-shadow-grey.html,https://2b.com.eg/en/asus-vivobook-s15-oled-s5507qa-ma001w-laptop-snapdragonr-x-elite-x1e-8-100-32gb-1tb-ssd-qualcommr-adrenotm-gpu-15-6-3k-oled-win11-silver.html
,,https://2b.com.eg/en/hp-victus-16-d1026ne-intelr-coretm-i7-12700h-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-3060-6gb-16-1-fhd-win11-mica-silver.html,https://2b.com.eg/en/asus-vivobook-16-x1605va-mb005w-laptop-intelr-coretmi5-13500h-8gb-512gb-ssd-intelr-uhd-graphics-16-0-wuxga-win-11-indie-black.html
,,https://2b.com.eg/en/lenovo-loq-15aph8-amd-ryzen-7-7840hs-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-3050-6gb-15-6-fhd-win-11-storm-grey.html,https://2b.com.eg/en/asus-vivobook-go-15-oled-e1504fa-oled005w-r5-7520u-8gb-512gb-amd-radeontm-graphics-15-6-fhd-win-11-green-grey.html
,,https://2b.com.eg/en/lenovo-loq-15iax9-laptop-intelr-coretm-i5-12450hx-8gb-512gb-ssd-nvidiar-geforce-rtxtm-2050-4gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-s15-oled-k3502za-oled005w-intelr-coretm-i5-12500h-16gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-oled-win11-brave-green.html
,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa507nur-lp007w-laptop-amd-ryzentm-7-7435hs-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-4050-6gb-15-6-fhd-win11-off-black.html,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-black.html
,,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/lenovo-ideapad-slim-3-15iah8-intelr-coretm-i5-12450h-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win-11-arctic-grey-1.html
,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506ncr-hn007w-laptop-amd-ryzentm-7-7435hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-3050-4gb-15-6-fhd-win11-off-black.html,https://2b.com.eg/en/asus-vivobook-15-x1502za-bq005w-intelr-coretmi5-1235u-8gb-512gb-ssd-intel-uhd-graphics-15-6-fhd-win11-quiet-blue.html
,,https://2b.com.eg/en/hp-victus-15-fb0033ne-amd-ryzentm-7-5800h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-ti-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/15-a1502za-ej005w-r-tm-i5-12500h-8-512-ssd-intelr-uhd-graphics-15-6-fhd-11.html
,,https://2b.com.eg/en/hp-victus-15-fb0036ne-amd-ryzentm-5-5600h-8gb-1tb-ssd-nvidiar-geforce-gtx-1650-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/asus-vivobook-15-x1504za-nj005w-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-quiet-blue.html
,,https://2b.com.eg/en/dell-g15-5520-intelr-coretm-i7-12700h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3060-6gb-15-6-fhd-ubuntu-dark-grey.html,
,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa507nu-lp045w-amd-ryzentm-7-7735hs-16gb-512gb-ssd-nvidiar-geforcer-rtxtm-4050-6gb-15-6-fhd-win11-black.html,
,,https://2b.com.eg/en/lenovo-ideapad-gaming-3-15ach6-amd-ryzentm-7-5800h-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-3060-6gb-15-6-fhd-win11-shadow-black.html,
